model,model_name,index,method,dimension,M,efConstruction,efSearch,nlist,nprobe,pq_m,pq_bits,build_sec,train_sec,add_sec,precision@1,precision@3,precision@5,precision@10,precision@20,precision@50,recall@1,recall@3,recall@5,recall@10,recall@20,recall@50,f1@1,f1@3,f1@5,f1@10,f1@20,f1@50,hit@1,hit@3,hit@5,hit@10,hit@20,hit@50,ndcg@1,ndcg@3,ndcg@5,ndcg@10,ndcg@20,ndcg@50,mrr,map,ann_recall@1,ann_recall@3,ann_recall@5,ann_recall@10,ann_recall@20,ann_recall@50,search_mean_ms,search_p50_ms,search_p95_ms,search_p99_ms
e5,intfloat/e5-base-v2,IVF_nlist256_nprobe32,IVF-Flat,768,,,,256.0,32.0,,,1.734260452999706,1.4760283159998835,0.2582321369998226,0.05725190839694656,0.04020356234096692,0.029770992366412213,0.019618320610687023,0.012328244274809162,0.006213740458015268,0.033935841512177385,0.07000825011938619,0.08582431700415535,0.10796739496416234,0.12920733325852599,0.15879107436898465,0.03976284106055098,0.046902503772732786,0.04082007898801793,0.031033503006161832,0.02143554149103757,0.011658006860992337,0.05725190839694656,0.10687022900763359,0.13206106870229006,0.166412213740458,0.19618320610687023,0.23969465648854962,0.05725190839694656,0.06516124605394691,0.07068317458676959,0.07865595599108682,0.08514581655635327,0.09221868344688473,0.09216750413258605,0.061819163706783385,0.8473282442748091,0.8498727735368956,0.8378625954198473,0.8295419847328245,0.8220992366412214,0.8037709923664123,2.37129750152346,2.3463740000124744,2.8592392499604102,3.1478364200029336
bge,BAAI/bge-base-en-v1.5,HNSW_M16_efSearch256,HNSW,768,16.0,200.0,256.0,,,,,32.330048008000176,,,0.0717557251908397,0.049109414758269715,0.03618320610687023,0.02450381679389313,0.015916030534351148,0.008580152671755725,0.04315952844242023,0.08331931882167626,0.10012629896507544,0.13105715352188418,0.16645304822738824,0.2152456508907611,0.04968068403182907,0.05646170333394118,0.04865266263447674,0.038342307848454174,0.02760179566437032,0.01605946051780323,0.0717557251908397,0.13206106870229006,0.15801526717557252,0.2,0.24732824427480915,0.3114503816793893,0.0717557251908397,0.07980834648015123,0.08534873064868044,0.09599040737427501,0.10631164838706632,0.11817751469804434,0.114741505920226,0.07695780176340115,0.9938931297709923,0.9928753180661577,0.9928244274809159,0.9910687022900763,0.9879770992366412,0.9782290076335878,1.3321558320557978,1.3362265000296247,1.6096879500196337,1.7315227900985524
bge,BAAI/bge-base-en-v1.5,IVFPQ_nlist256_nprobe8,IVF-PQ,768,,,,256.0,8.0,48.0,8.0,14.017348950999803,11.015068271000018,3.002280679999785,0.03282442748091603,0.026463104325699743,0.02015267175572519,0.013816793893129772,0.009045801526717558,0.004870229007633588,0.02040712468193384,0.04559735853628983,0.0585371985944505,0.07671452805040592,0.0958245020458761,0.12339823799410687,0.02361080819096086,0.03047822830265579,0.027580532275188765,0.021913256046042898,0.015808166508065838,0.009128863581414673,0.03282442748091603,0.07480916030534351,0.09312977099236641,0.12137404580152672,0.15267175572519084,0.19389312977099238,0.03282442748091603,0.041745220866693994,0.04622030890783807,0.05270995614885606,0.058551441004108314,0.06528945561691643,0.06203212904434128,0.040438583477920474,0.32290076335877865,0.38880407124681937,0.4074809160305343,0.4201526717557252,0.44301526717557255,0.4489007633587786,0.2576382740466465,0.2505985000880173,0.32612054974379134,0.4093297596728008
e5,intfloat/e5-base-v2,IVFPQ_nlist64_nprobe4,IVF-PQ,768,,,,64.0,4.0,48.0,8.0,12.090454093999597,9.114651146999677,2.97580294699992,0.026717557251908396,0.01450381679389313,0.012977099236641221,0.008473282442748092,0.005610687022900763,0.003221374045801527,0.020197201017811705,0.029775536168665937,0.039810371985944504,0.04978935448360492,0.06286278232802514,0.08788587553477349,0.02186356476432812,0.01827219853937411,0.018182466388573258,0.013610347376539112,0.009904725175070935,0.006087153859225666,0.026717557251908396,0.042748091603053436,0.06183206106870229,0.07862595419847328,0.09923664122137404,0.1366412213740458,0.026717557251908396,0.028861838870241876,0.03340823619471605,0.03689259237560671,0.04086003579410874,0.04659020919330947,0.04310381389729183,0.030561275289113538,0.13969465648854962,0.17201017811704833,0.19022900763358777,0.21015267175572525,0.23156488549618323,0.25919083969465656,0.3500378595416465,0.34496300008868275,0.42674985018038564,0.5277448201968584
e5,intfloat/e5-base-v2,IVF_nlist128_nprobe16,IVF-Flat,768,,,,128.0,16.0,,,0.6900267430000895,0.5220688440001595,0.16795789899992997,0.0549618320610687,0.0371501272264631,0.028244274809160305,0.01786259541984733,0.011297709923664122,0.005877862595419848,0.03359233006179571,0.06733346519269284,0.08309985317282129,0.09933141049175882,0.12179012047245139,0.15432313876882847,0.03914851899584724,0.0444464271945188,0.039273148395285805,0.02851951235678726,0.019792664449975357,0.011063184797378684,0.0549618320610687,0.10152671755725191,0.12748091603053435,0.15419847328244274,0.18396946564885497,0.23053435114503817,0.0549618320610687,0.06174482200866403,0.06802738904864206,0.074082572461931,0.08078407991934161,0.08838851456980647,0.0877529248147476,0.05922605466606952,0.7610687022900763,0.7618320610687023,0.7505343511450381,0.7482442748091603,0.7427480916030534,0.7325496183206107,2.3048825427488784,2.2596784999677766,2.960534300098061,3.1701484801101296
e5,intfloat/e5-base-v2,HNSW_M16_efSearch32,HNSW,768,16.0,200.0,32.0,,,,,36.24942404300009,,,0.06259541984732825,0.03969465648854962,0.03068702290076336,0.020839694656488553,0.013396946564885496,0.007450381679389314,0.04054737671149885,0.07294317217981339,0.09283078880407124,0.11947265146652022,0.14722266544745025,0.19277503612059113,0.046171419759206016,0.047635019772424354,0.04310101264299738,0.03349009770993826,0.023595568477137483,0.014017842387604342,0.06259541984732825,0.10763358778625955,0.1366412213740458,0.17557251908396945,0.2129770992366412,0.27938931297709924,0.06259541984732825,0.0685529351256893,0.07633568695053022,0.08584993485913414,0.09425902582531337,0.10531014674128815,0.09792909724651314,0.06963357172256189,0.8618320610687022,0.8338422391857507,0.8225954198473282,0.7876335877862595,0.7494274809160305,0.6703206106870229,0.308139592370831,0.30224099998577003,0.4025432000617002,0.473028460112346
bge,BAAI/bge-base-en-v1.5,IVF_nlist256_nprobe16,IVF-Flat,768,,,,256.0,16.0,,,1.6909005310003522,1.4442827090001629,0.24661782200018934,0.06564885496183206,0.04173027989821882,0.030229007633587792,0.02053435114503817,0.01286259541984733,0.006824427480916032,0.039385143370325226,0.07063775210057438,0.0811663753009533,0.10832902106710154,0.1304666353612044,0.16607912084010207,0.045670114448740404,0.04753898059442454,0.039973582038620864,0.03193514279912293,0.022179543854038693,0.012742699104665349,0.06564885496183206,0.11526717557251909,0.13587786259541984,0.1717557251908397,0.20458015267175572,0.25572519083969464,0.06564885496183206,0.06955057819435682,0.0726069383681569,0.08166965730400197,0.08837205819548516,0.09701342070333478,0.10060054258155307,0.0648791441048534,0.8580152671755725,0.8394402035623408,0.8283969465648854,0.8141221374045802,0.7983587786259543,0.7621832061068703,1.2281530274875676,1.1861824999641613,1.709312549894548,1.8728279598531117
e5,intfloat/e5-base-v2,IVFPQ_nlist128_nprobe64,IVF-PQ,768,,,,128.0,64.0,48.0,8.0,12.511749128000247,9.557819145999929,2.953929982000318,0.02748091603053435,0.017557251908396947,0.014351145038167942,0.010229007633587785,0.007099236641221375,0.004244274809160306,0.01696595177511208,0.03307373076457045,0.04229764933963407,0.055839997576638795,0.07733819403666732,0.11113634718555947,0.019498694689534385,0.021418933060154435,0.02005012375241383,0.016319370375871733,0.012523994947674562,0.00799089809936127,0.02748091603053435,0.050381679389312976,0.06564885496183206,0.08854961832061069,0.12213740458015267,0.1717557251908397,0.02748091603053435,0.030481674088909845,0.03441826308114143,0.03942773306340816,0.04579321072821233,0.053772966124286316,0.04755770624851684,0.03206703705944281,0.14427480916030536,0.19262086513994908,0.20656488549618324,0.23404580152671758,0.26622137404580154,0.30781679389312977,1.983536041219822,1.9660765001390246,2.268841099976271,2.599693980009763
e5,intfloat/e5-base-v2,HNSW_M16_efSearch64,HNSW,768,16.0,200.0,64.0,,,,,36.24942404300009,,,0.06793893129770992,0.04173027989821882,0.03282442748091603,0.022061068702290076,0.014236641221374047,0.007770992366412214,0.04328274566824185,0.07615382285229613,0.09832697201017812,0.1279869441415243,0.15806727810167223,0.20296682831283236,0.04950475309253935,0.050015917076985786,0.04593397696451132,0.03564680611915771,0.02511993121490878,0.014637911167791852,0.06793893129770992,0.11374045801526718,0.14580152671755725,0.18473282442748093,0.2267175572519084,0.2931297709923664,0.06793893129770992,0.07236972901881908,0.08120915868066161,0.09157332255083568,0.1006096624960276,0.11157995555604863,0.10492103041784223,0.07399533495502657,0.9366412213740458,0.9190839694656489,0.9119083969465648,0.8881679389312978,0.8620992366412215,0.8074503816793894,0.48357304351455466,0.47949499992228084,0.5939765500329486,0.6912510200231738
e5,intfloat/e5-base-v2,IVF_nlist512_nprobe8,IVF-Flat,768,,,,512.0,8.0,,,3.2794744940003966,2.9403358330002902,0.33913866100010637,0.0450381679389313,0.025954198473282442,0.020305343511450382,0.013282442748091604,0.008282442748091604,0.004320610687022901,0.030011813885859686,0.04941687871077184,0.062222525142372476,0.07807937023545275,0.0914208824128428,0.11483424174223265,0.03380319002456407,0.03165895597193307,0.028368794055816958,0.021336429517372534,0.014576149262290105,0.008132878018042062,0.0450381679389313,0.07557251908396946,0.09694656488549619,0.11984732824427481,0.13893129770992366,0.17404580152671756,0.0450381679389313,0.04723834153101101,0.05250027004675674,0.05798657729993395,0.062153194154530196,0.06775547180492192,0.0684310801003954,0.046525608715822495,0.5969465648854961,0.5842239185750635,0.5603053435114503,0.5446564885496183,0.5256106870229007,0.4939541984732825,0.3769409824425711,0.36177600009068556,0.5250185501836312,0.6335706896561533
