method,alpha,k,qid,precision,recall,f1,hit_rate,ndcg,mrr,ap,latency_total_ms,candidate_jaccard,oracle_union_recall,bm25_dense_overlap,bm25_gold_hits,dense_gold_hits,both_gold_hits,bm25_only_gold_hits,dense_only_gold_hits
weighted_fusion,0.0,1,397a1e851aab41c455c2b284f5e4947500d797f0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,187.948907999953,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
weighted_fusion,0.0,3,397a1e851aab41c455c2b284f5e4947500d797f0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,187.948907999953,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
weighted_fusion,0.0,5,397a1e851aab41c455c2b284f5e4947500d797f0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,187.948907999953,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
weighted_fusion,0.0,10,397a1e851aab41c455c2b284f5e4947500d797f0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,187.948907999953,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
weighted_fusion,0.0,20,397a1e851aab41c455c2b284f5e4947500d797f0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,187.948907999953,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
weighted_fusion,0.0,50,397a1e851aab41c455c2b284f5e4947500d797f0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,187.948907999953,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
weighted_fusion,0.0,1,cc8b4ed3985f9bfbe1b5d7761b31d9bd6a965444,0.0,0.0,0.0,0.0,0.0,0.1111111111111111,0.029478458049886618,126.96734399992238,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
weighted_fusion,0.0,3,cc8b4ed3985f9bfbe1b5d7761b31d9bd6a965444,0.0,0.0,0.0,0.0,0.0,0.1111111111111111,0.029478458049886618,126.96734399992238,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
weighted_fusion,0.0,5,cc8b4ed3985f9bfbe1b5d7761b31d9bd6a965444,0.0,0.0,0.0,0.0,0.0,0.1111111111111111,0.029478458049886618,126.96734399992238,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
weighted_fusion,0.0,10,cc8b4ed3985f9bfbe1b5d7761b31d9bd6a965444,0.1,0.14285714285714285,0.11764705882352941,1.0,0.08274602130532004,0.1111111111111111,0.029478458049886618,126.96734399992238,0.05263157894736842,0.14285714285714285,1.0,0.0,1.0,0.0,0.0,1.0
weighted_fusion,0.0,20,cc8b4ed3985f9bfbe1b5d7761b31d9bd6a965444,0.05,0.14285714285714285,0.07407407407407408,1.0,0.08274602130532004,0.1111111111111111,0.029478458049886618,126.96734399992238,0.14285714285714285,0.14285714285714285,5.0,0.0,1.0,0.0,0.0,1.0
weighted_fusion,0.0,50,cc8b4ed3985f9bfbe1b5d7761b31d9bd6a965444,0.04,0.2857142857142857,0.07017543859649124,1.0,0.14438534138492404,0.1111111111111111,0.029478458049886618,126.96734399992238,0.16279069767441862,0.2857142857142857,14.0,0.0,2.0,0.0,0.0,2.0
weighted_fusion,0.0,1,f7662b11e87c1e051e13799413f3db459ac3e19c,0.0,0.0,0.0,0.0,0.0,0.0,0.0,221.17820800008303,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
weighted_fusion,0.0,3,f7662b11e87c1e051e13799413f3db459ac3e19c,0.0,0.0,0.0,0.0,0.0,0.0,0.0,221.17820800008303,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
weighted_fusion,0.0,5,f7662b11e87c1e051e13799413f3db459ac3e19c,0.0,0.0,0.0,0.0,0.0,0.0,0.0,221.17820800008303,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
weighted_fusion,0.0,10,f7662b11e87c1e051e13799413f3db459ac3e19c,0.0,0.0,0.0,0.0,0.0,0.0,0.0,221.17820800008303,0.05263157894736842,0.0,1.0,0.0,0.0,0.0,0.0,0.0
weighted_fusion,0.0,20,f7662b11e87c1e051e13799413f3db459ac3e19c,0.0,0.0,0.0,0.0,0.0,0.0,0.0,221.17820800008303,0.02564102564102564,0.0,1.0,0.0,0.0,0.0,0.0,0.0
weighted_fusion,0.0,50,f7662b11e87c1e051e13799413f3db459ac3e19c,0.0,0.0,0.0,0.0,0.0,0.0,0.0,221.17820800008303,0.030927835051546393,0.0,3.0,0.0,0.0,0.0,0.0,0.0
weighted_fusion,0.0,1,b584739622d0c53830e60430b13fd3ae6ff43669,0.0,0.0,0.0,0.0,0.0,0.0,0.0,338.8693689998945,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
weighted_fusion,0.0,3,b584739622d0c53830e60430b13fd3ae6ff43669,0.0,0.0,0.0,0.0,0.0,0.0,0.0,338.8693689998945,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
weighted_fusion,0.0,5,b584739622d0c53830e60430b13fd3ae6ff43669,0.0,0.0,0.0,0.0,0.0,0.0,0.0,338.8693689998945,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
weighted_fusion,0.0,10,b584739622d0c53830e60430b13fd3ae6ff43669,0.0,0.0,0.0,0.0,0.0,0.0,0.0,338.8693689998945,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
