method,alpha,k,num_queries,precision,recall,f1,hit_rate,ndcg,mrr,map,mean_latency_ms,median_latency_ms,p95_latency_ms,p99_latency_ms,candidate_jaccard,oracle_union_recall,bm25_dense_overlap,bm25_gold_hits,dense_gold_hits,both_gold_hits,bm25_only_gold_hits,dense_only_gold_hits
BM25,,1,1310,0.048092,0.027829,0.03246,0.048092,0.048092,0.084936,0.058049,206.812017,188.839421,364.198179,494.036777,,,,,,,,
BM25,,3,1310,0.037405,0.062709,0.043082,0.09771,0.058322,0.084936,0.058049,206.812017,188.839421,364.198179,494.036777,,,,,,,,
BM25,,5,1310,0.028244,0.075095,0.037893,0.117557,0.062695,0.084936,0.058049,206.812017,188.839421,364.198179,494.036777,,,,,,,,
BM25,,10,1310,0.019542,0.101304,0.030512,0.154962,0.07186,0.084936,0.058049,206.812017,188.839421,364.198179,494.036777,,,,,,,,
BM25,,20,1310,0.013397,0.136957,0.023265,0.20458,0.082623,0.084936,0.058049,206.812017,188.839421,364.198179,494.036777,,,,,,,,
BM25,,50,1310,0.007313,0.184143,0.013711,0.267939,0.093889,0.084936,0.058049,206.812017,188.839421,364.198179,494.036777,,,,,,,,
Dense_BGE_HNSW,,1,1310,0.055725,0.03349,0.03889,0.055725,0.055725,0.099833,0.066044,13.123442,13.001313,14.260061,16.344429,,,,,,,,
Dense_BGE_HNSW,,3,1310,0.04402,0.074382,0.050542,0.120611,0.068851,0.099833,0.066044,13.123442,13.001313,14.260061,16.344429,,,,,,,,
Dense_BGE_HNSW,,5,1310,0.032977,0.091898,0.044449,0.145802,0.075208,0.099833,0.066044,13.123442,13.001313,14.260061,16.344429,,,,,,,,
Dense_BGE_HNSW,,10,1310,0.020687,0.113232,0.032604,0.178626,0.082353,0.099833,0.066044,13.123442,13.001313,14.260061,16.344429,,,,,,,,
Dense_BGE_HNSW,,20,1310,0.014084,0.151479,0.024501,0.225954,0.093496,0.099833,0.066044,13.123442,13.001313,14.260061,16.344429,,,,,,,,
Dense_BGE_HNSW,,50,1310,0.007802,0.194365,0.014565,0.285496,0.104197,0.099833,0.066044,13.123442,13.001313,14.260061,16.344429,,,,,,,,
RRF,,1,1310,0.063359,0.036545,0.042994,0.063359,0.063359,0.11176,0.075447,219.935459,201.839432,377.405385,508.484182,0.054198,0.052831,0.054198,0.048092,0.055725,0.012214,0.035878,0.043511
RRF,,3,1310,0.048092,0.080268,0.054738,0.129008,0.075403,0.11176,0.075447,219.935459,201.839432,377.405385,508.484182,0.05229,0.110783,0.243511,0.112214,0.132061,0.046565,0.065649,0.085496
RRF,,5,1310,0.036489,0.101472,0.049158,0.159542,0.082869,0.11176,0.075447,219.935459,201.839432,377.405385,508.484182,0.053235,0.129254,0.428244,0.141221,0.164885,0.066412,0.074809,0.098473
RRF,,10,1310,0.025802,0.140048,0.040781,0.212977,0.096278,0.11176,0.075447,219.935459,201.839432,377.405385,508.484182,0.055389,0.15856,0.935878,0.19542,0.20687,0.099237,0.096183,0.107634
RRF,,20,1310,0.016565,0.172204,0.028792,0.254198,0.106064,0.11176,0.075447,219.935459,201.839432,377.405385,508.484182,0.057811,0.208081,2.01374,0.267939,0.281679,0.145038,0.122901,0.136641
RRF,,50,1310,0.008885,0.222625,0.016617,0.322137,0.118283,0.11176,0.075447,219.935459,201.839432,377.405385,508.484182,0.061378,0.265381,5.457252,0.365649,0.390076,0.214504,0.151145,0.175573
weighted_fusion,0.0,1,1310,0.055725,0.03349,0.03889,0.055725,0.055725,0.099833,0.066044,219.935459,201.839432,377.405385,508.484182,0.054198,0.052831,0.054198,0.048092,0.055725,0.012214,0.035878,0.043511
